1,19,2
2,99,6
3,20,3
4,8,3
5,77,1
6,82,10
7,51,2
8,41,10
9,58,8
10,79,7
11,58,2
12,2,10
13,26,10
14,40,9
15,20,8
16,81,9
17,92,10
18,27,7
19,89,1
20,67,8
21,65,3
22,48,1
23,97,7
24,45,3
25,32,6
26,55,2
27,54,6
28,72,9
29,82,6
30,25,7
31,45,8
32,89,10
33,37,10
34,1,9
35,53,9
36,85,6
37,32,2
38,73,1
39,71,9
40,27,4
41,77,10
42,23,4
43,52,1
44,72,1
45,41,7
46,90,6
47,43,7
48,90,5
49,88,6
50,37,5
51,92,8
52,29,3
53,63,10
54,35,7
55,8,10
56,100,9
57,18,4
58,47,10
59,95,6
60,33,9
61,75,10
62,11,10
63,73,5
64,92,6
65,67,1
66,46,9
67,78,8
68,85,6
69,50,8
70,78,9
71,70,9
72,16,6
73,59,1
74,70,5
75,74,10
76,35,8
77,25,6
78,17,7
79,47,3
80,63,5
81,5,8
82,28,9
83,24,9
84,56,8
85,49,5
86,56,1
87,43,10
88,4,8
89,87,6
90,37,3
91,81,7
92,63,1
93,88,9
94,97,10
95,90,4
96,61,2
97,82,8
98,15,4
99,78,7
100,75,7
101,57,3
102,59,10
103,41,4
104,73,8
105,51,1
106,12,5
107,83,7
108,9,8
109,72,7
110,73,5
111,66,5
112,23,9
113,24,6
114,99,8
115,93,7
116,97,3
117,30,3
118,51,1
119,25,9
120,5,5
121,1,10
122,52,3
123,33,7
124,49,3
125,63,8
126,52,5
127,34,9
128,32,9
129,95,5
130,98,6
131,21,5
132,89,4
133,20,4
134,69,6
135,50,3
136,19,7
137,55,3
138,70,8
139,32,10
140,82,3
141,52,8
142,19,1
143,88,5
144,50,1
145,36,3
146,93,1
147,91,9
148,17,7
149,1,7
150,18,7
151,69,5
152,66,5
153,1,9
154,52,4
155,2,1
156,88,2
157,12,4
158,86,8
159,42,8
160,30,1
161,15,10
162,87,10
163,84,8
164,8,5
165,90,3
166,40,7
167,26,9
168,80,6
169,97,3
170,56,8
171,5,3
172,93,9
173,1,9
174,61,5
175,8,2
176,31,6
177,41,9
178,43,1
179,16,9
180,18,6
181,7,1
182,98,6
183,16,4
184,92,7
185,4,2
186,5,10
187,5,7
188,45,6
189,40,5
190,67,7
191,68,6
192,80,8
193,79,3
194,15,4
195,15,3
196,91,3
197,17,1
198,89,6
199,98,6
200,41,10
201,49,9
202,24,6
203,49,4
204,28,7
205,59,1
206,25,2
207,57,7
208,95,10
209,50,3
210,36,2
211,29,1
212,86,6
213,69,6
214,58,5
215,18,1
216,72,6
217,6,4
218,82,6
219,57,9
220,20,3
221,50,5
222,86,7
223,11,4
224,86,10
